ID;Name;Latitude;Longitude;TransportType;adresse;compl_adresse;code_postale
1177;Lamarck - Caulaincourt;48.8897173;2.3394547;bus;Rue Caulaincourt;Quartier des Grandes-Carrières;75018
1178;Concorde - Quai des Tuileries;48.8638499;2.3206316;bus;Quai des Tuileries;Quartier des Champs-Élysées;75008
1179;Les Moulins - Camping;48.8648409;2.2341295;bus;Route des Moulins;Quartier d'Auteuil;75016
1180;Les Moulins - Camping;48.8646596;2.2348732;bus;Route de Suresnes;Quartier d'Auteuil;75016
1181;Les Moulins - Camping;48.8654514;2.2339766;bus;Route de Suresnes;Quartier de la Muette;75016
1182;Stade Charlety - Porte de Gentilly;48.8188509;2.3443045;bus;Avenue Pierre de Coubertin;Quartier du Parc-de-Montsouris;75014
1183;Crozatier;48.8506344;2.3792728;bus;Rue du Faubourg Saint-Antoine;Quartier Sainte-Marguerite;75011
1184;Toulouse-Lautrec;48.900985;2.3292194;bus;Rue Toulouse-Lautrec;Quartier des Épinettes;75017
1185;Hilsz - Lagny;48.8491714;2.4125984;bus;Rue de Lagny;Quartier de Charonne;75020
1186;La Muette - Boulainvilliers;48.8585746;2.2749016;bus;Rue de la Pompe;Quartier de la Muette;75116
1187;Saint-Georges - Châteaudun;48.8764567;2.3370539;bus;Rue Saint-Georges;Quartier de la Chaussée-d'Antin;75009
1188;Saint-Georges - Châteaudun;48.8760287;2.3366785;bus;Rue de Châteaudun;Quartier de la Chaussée-d'Antin;75009
1189;Saint-Georges - Châteaudun;48.8762128;2.3359703;bus;Rue de Châteaudun;Quartier de la Chaussée-d'Antin;75009
1190;Nicolo - Jean Richepin;48.8614476;2.2755091;bus;Rue de la Pompe;Quartier de la Muette;75116
1191;Pompe - Mairie du 16e;48.8642416;2.2770207;bus;Avenue Henri Martin;Quartier de la Porte-Dauphine;75116
1192;Place Jean Monnet;48.8674261;2.2806617;bus;Rue de la Pompe;Quartier de la Porte-Dauphine;75116
1193;Place Jean Monnet;48.8680878;2.2817635;bus;Avenue Victor Hugo;Quartier de la Porte-Dauphine;75116
1194;Grands Boulevards;48.8706577;2.3428686;bus;Rue Montmartre;Quartier du Mail;75002
1195;Hôpital Saint-Antoine;48.8502474;2.3824898;bus;Rue du Faubourg Saint-Antoine;Quartier des Quinze-Vingts;75012
1196;Hôpital Saint-Antoine;48.8503771;2.3824789;bus;Quartier Sainte-Marguerite;Paris 11e Arrondissement;75011
1197;Bastille - Faubourg Saint-Antoine;48.853049;2.3708354;bus;Rue du Faubourg Saint-Antoine;Quartier de la Roquette;75011
1198;Bastille - Faubourg Saint-Antoine;48.8527352;2.3711457;bus;Rue du Faubourg Saint-Antoine;Quartier des Quinze-Vingts;75012
1199;La Boule Blanche;48.8520862;2.3732958;bus;Rue du Faubourg Saint-Antoine;Quartier de la Roquette;75011
1200;Place des Vosges;48.8566923;2.3643489;bus;Rue de Turenne;Quartier des Archives;75003
1201;Chevreul;48.849;2.3915646;bus;Rue du Faubourg Saint-Antoine;Quartier de Picpus;75012
1202;Chevreul;48.8489337;2.3924491;bus;Rue du Faubourg Saint-Antoine;Quartier Sainte-Marguerite;75011
1203;Pont National - Quai de Bercy;;;;;;
1204;Choiseul;48.8714182;2.3361457;bus;Boulevard des Italiens;Quartier de la Chaussée-d'Antin;75009
1205;La Fayette - Dunkerque;48.8798182;2.3592216;bus;Rue La Fayette;Quartier Saint-Vincent-de-Paul;75010
1206;Louis Blanc;48.8817621;2.3666052;bus;Rue La Fayette;Quartier de l'Hôpital Saint-Louis;75010
1207;Jaurès;48.8828534;2.3708395;bus;Avenue Jean Jaurès;Quartier de la Villette;75019
1208;La Motte Picquet - Grenelle;48.8494538;2.2985876;bus;Avenue de la Motte-Picquet;Quartier de Grenelle;75015
1209;Demi-Lune - Parc Zoologique;48.8345773;2.4201923;bus;Avenue de Saint-Maurice;Quartier du Bel-Air;75012
1210;Casernes des Gardes;48.8288993;2.4198367;bus;Avenue de Saint-Maurice;Quartier de Picpus;75012
1211;Palais de la Découverte;48.8649634;2.3094689;bus;Cours Albert-Iᵉʳ;Quartier des Champs-Élysées;75008
1212;Thomas Mann;48.8303724;2.3819753;bus;Quai Panhard et Levassor;Quartier de la Gare;75013
1213;Bibliothèque François Mitterrand;48.8308226;2.3774593;bus;Rue Neuve Tolbiac;Quartier de la Gare;75013
1214;Watt;48.8284685;2.3842951;bus;Quai Panhard et Levassor;Quartier de la Gare;75013
1215;Thomas Mann;48.8308813;2.3815991;bus;Quai Panhard et Levassor;Quartier de la Gare;75013
1216;Watt;48.8291955;2.3837342;bus;Quai Panhard et Levassor;Quartier de la Gare;75013
1217;Canal de l'Ourcq;48.8897362;2.383347;bus;Rue de l'Ourcq;Quartier du Pont-de-Flandre;75019
1218;Canal de l'Ourcq;48.8907639;2.3819888;bus;Rue de l'Ourcq;Quartier de la Villette;75019
1219;Saint-Georges;48.8781963;2.3378153;bus;Rue Notre-Dame-de-Lorette;Quartier Saint-Georges;75009
1220;Saint-Georges;48.8785791;2.3372731;bus;Rue Notre-Dame-de-Lorette;Quartier Saint-Georges;75009
1221;Rue du Bac - René Char;48.8564561;2.3250908;bus;Boulevard Saint-Germain;Quartier Saint-Thomas-d'Aquin;75007
1222;Pyrénées - Docteur Netter;48.847273;2.4069014;bus;Cours de Vincennes;Quartier du Bel-Air;75012
1223;Hôpital Rothschild;48.8425486;2.39753;bus;Rue de Picpus;Quartier de Picpus;75012
1224;Hôpital Rothschild;48.8429257;2.3973831;bus;Rue de Picpus;Quartier de Picpus;75012
1225;Albert Marquet;48.857937;2.4047277;bus;Rue Albert Marquet;Quartier de Charonne;75020
1226;Rue du Bac - René Char;48.8566428;2.3252417;bus;Boulevard Saint-Germain;Quartier Saint-Thomas-d'Aquin;75007
1227;Rue du Bac - René Char;48.8565327;2.3253955;bus;Boulevard Saint-Germain;Quartier Saint-Thomas-d'Aquin;75007
1228;Rue du Bac - René Char;48.8555351;2.3254975;bus;Boulevard Raspail;Quartier Saint-Thomas-d'Aquin;75007
1229;Rue du Bac - René Char;48.8556554;2.3265273;bus;Boulevard Saint-Germain;Quartier Saint-Thomas-d'Aquin;75007
1230;Rue du Bac - René Char;48.8562214;2.3263267;bus;Rue du Bac;Quartier Saint-Thomas-d'Aquin;75007
1231;Solférino - Bellechasse;48.8577701;2.3236042;bus;Rue Saint-Dominique;Quartier Saint-Thomas-d'Aquin;75007
1232;Solférino - Bellechasse;48.8580866;2.3233708;bus;Boulevard Saint-Germain;Quartier Saint-Thomas-d'Aquin;75007
1233;Solférino - Bellechasse;48.8580252;2.3234264;bus;Boulevard Saint-Germain;Quartier Saint-Thomas-d'Aquin;75007
1234;Solférino - Bellechasse;48.8584853;2.3233173;bus;Boulevard Saint-Germain;Quartier Saint-Thomas-d'Aquin;75007
1235;Solférino - Bellechasse;48.8588818;2.3229334;bus;Boulevard Saint-Germain;Quartier des Invalides;75007
1236;Charlotte Perriand;48.8537228;2.3263789;bus;Boulevard Raspail;Quartier Saint-Thomas-d'Aquin;75007
1237;Charlotte Perriand;48.8537726;2.3260052;bus;Boulevard Raspail;Quartier Saint-Thomas-d'Aquin;75007
1238;Pont Royal - Quai Voltaire;48.8590614;2.3289969;bus;Rue du Bac;Quartier Saint-Thomas-d'Aquin;75007
1239;Saint-Guillaume;48.8546818;2.329329;bus;Boulevard Saint-Germain;Quartier Saint-Thomas-d'Aquin;75007
1240;Ternes - MacMahon;48.879038;2.2945395;bus;Avenue Niel;Quartier des Ternes;75017
1241;Ternes - Mac Mahon;48.8790567;2.2942853;bus;Avenue Niel;Quartier des Ternes;75017
1242;Buzenval;48.8519003;2.4019023;bus;Rue d'Avron;Quartier de Charonne;75020
1243;Maraîchers;48.8526031;2.4053215;bus;Rue d'Avron;Quartier de Charonne;75020
1244;Charonne - Voltaire;48.8547754;2.3858829;bus;Rue de Charonne;Quartier Sainte-Marguerite;75011
1245;Charonne;48.85435;2.3857192;bus;Boulevard Voltaire;Quartier Sainte-Marguerite;75011
1246;Charonne;48.854326;2.3861381;bus;Boulevard Voltaire;Quartier Sainte-Marguerite;75011
1247;Charonne - Voltaire;48.8546607;2.3849319;bus;Rue de Charonne;Quartier de la Roquette;75011
1248;Faidherbe - Chaligny;48.8498684;2.3856049;bus;Rue du Faubourg Saint-Antoine;Quartier de Picpus;75012
1249;Louis Armand;48.8322418;2.2781849;bus;Rue du Colonel Pierre Avia;Quartier de Javel;75015
1250;Balard;48.8356919;2.2782012;bus;Avenue de la Porte de Sèvres;Quartier de Javel;75015
1251;Rivoli - Pont Neuf;48.8597956;2.3444999;bus;Rue de Rivoli;Quartier Les Halles;75001
1252;Rivoli - Pont Neuf;48.8597441;2.344662;bus;Rue de Rivoli;Quartier Les Halles;75001
1253;Pont Royal;48.8605224;2.331009;bus;Tunnel des Tuileries;Quartier Saint-Germain-l'Auxerrois;75001
1254;Porte de Montreuil;48.8534497;2.4100781;bus;Rue d'Avron;Quartier de Charonne;75020
1255;Porte de Montreuil;48.8533556;2.4100827;bus;Rue d'Avron;Quartier de Charonne;75020
1256;Gambetta - Japon;48.864974;2.4000202;bus;Rue du Japon;Quartier du Père-Lachaise;75020
1257;Indre;48.8632147;2.4042183;bus;Rue Pelleport;Quartier du Père-Lachaise;75020
1258;Indre;48.8633962;2.4041437;bus;Rue Pelleport;Quartier Saint-Fargeau;75020
1259;Hôpital Tenon;48.8659357;2.4004992;bus;Rue de la Chine;Quartier du Père-Lachaise;75020
1260;Pelleport - Bagnolet;48.8620626;2.4061842;bus;Rue de Bagnolet;Quartier de Charonne;75020
1261;Menilmontant - Pelleport;48.8705641;2.39928;bus;Rue Pelleport;Quartier du Père-Lachaise;75020
1262;Borrégo;48.8729885;2.3979647;bus;Rue Pelleport;Quartier Saint-Fargeau;75020
1263;Pelleport - Gambetta;48.8680313;2.4011123;bus;Avenue Gambetta;Quartier du Père-Lachaise;75020
1264;Pelleport - Gambetta;48.868891;2.4009714;bus;Rue Pelleport;Quartier Saint-Fargeau;75020
1265;Échangeur de Bagnolet;48.8647625;2.4118726;bus;Avenue de la Porte de Bagnolet;Quartier de Charonne;75020
1266;Menilmontant - Pelleport;48.871217;2.3989347;bus;Rue Pelleport;Quartier Saint-Fargeau;75020
1267;Charonne - Bagnolet;48.8564343;2.3938809;bus;Rue de Charonne;Quartier de la Roquette;75011
1268;Charonne - Bagnolet;48.856298;2.3938065;bus;Rue de Charonne;Quartier Sainte-Marguerite;75011
1269;Charonne - Philippe Auguste;48.8557465;2.3908118;bus;Rue de Charonne;Quartier de la Roquette;75011
1270;Charonne - Philippe Auguste;48.8556376;2.390769;bus;Rue de Charonne;Quartier Sainte-Marguerite;75011
1271;Rue des Boulets;48.8522903;2.3896033;bus;Boulevard Voltaire;Quartier Sainte-Marguerite;75011
1272;Nation - Voltaire;48.848906;2.39481;bus;Boulevard Voltaire;Quartier Sainte-Marguerite;75011
1273;La Boule Blanche;48.8519439;2.3733896;bus;Rue du Faubourg Saint-Antoine;Quartier des Quinze-Vingts;75012
1274;Maraîchers;48.8525583;2.4056039;bus;Rue d'Avron;Quartier de Charonne;75020
1275;Rond-Point des Champs-Élysées;48.869354;2.308445;bus;Paris 8e Arrondissement;Paris;75008
1276;La Boétie - Champs-Élysées;48.8701814;2.3058463;bus;Avenue des Champs-Élysées;Quartier des Champs-Élysées;75008
1277;Picpus;48.8448277;2.4029841;bus;Avenue de Saint-Mandé;Quartier du Bel-Air;75012
1278;Picpus;48.8453953;2.4020254;bus;Boulevard de Picpus;Quartier du Bel-Air;75012
1279;Docteur Netter;48.8445403;2.4064052;bus;Avenue de Saint-Mandé;Quartier du Bel-Air;75012
1280;Picpus;48.8451043;2.4013784;bus;Avenue de Saint-Mandé;Quartier de Picpus;75012
1281;Porte de Saint-Mandé;48.8441659;2.4108609;bus;Avenue Courteline;Quartier du Bel-Air;75012
1282;Docteur Netter;48.8448221;2.4049203;bus;Avenue de Saint-Mandé;Quartier du Bel-Air;75012
1283;Porte de Saint-Mandé;48.8442886;2.410959;bus;Avenue Courteline;Quartier du Bel-Air;75012
1284;Rennes - D'Assas;48.8493081;2.3285563;bus;Rue d'Assas;Quartier Notre-Dame-des-Champs;75006
1285;Louvre - Étienne Marcel;48.8647564;2.3426955;bus;Rue du Louvre;Quartier Les Halles;75001
1286;Porte Saint-Denis;48.8700356;2.3514236;bus;Boulevard de Bonne Nouvelle;Quartier de la Porte-Saint-Denis;75010
1287;Chaperon Vert - Lénine;48.816812;2.3340463;bus;Avenue Paul Vaillant-Couturier;Quartier du Parc-de-Montsouris;75014
1288;Gentilly RER;48.8164187;2.3405561;bus;Avenue Paul Vaillant-Couturier;Quartier du Parc-de-Montsouris;75014
1289;Claude Tillier;48.8494463;2.3891311;bus;Rue du Faubourg Saint-Antoine;Quartier Sainte-Marguerite;75011
1290;Claude Tillier;48.8492211;2.3897952;bus;Rue du Faubourg Saint-Antoine;Quartier de Picpus;75012
1291;Rennes - Raspail;48.8484648;2.3278891;bus;Boulevard Raspail;Quartier Notre-Dame-des-Champs;75006
1292;Porte de Saint-Cloud - Michel-Ange;48.8388862;2.2566767;bus;Boulevard Murat;Quartier d'Auteuil;75016
1293;Porte de Saint-Cloud - Michel-Ange;48.8389518;2.2569115;bus;Boulevard Murat;Quartier d'Auteuil;75016
1294;Porte de Saint-Cloud;48.8384314;2.2555384;bus;Avenue de la Porte de Saint-Cloud;Quartier d'Auteuil;75016
1295;Porte de Saint-Cloud - Michel-Ange;48.8390178;2.2576472;bus;Rue Michel-Ange;Quartier d'Auteuil;75016
