ID;Name;Latitude;Longitude;TransportType;adresse;compl_adresse;code_postale
2012;Courcelles;48.8795859;2.302568;bus;Rue de Courcelles;Quartier de la Plaine-de-Monceau;75017
2013;Jouffroy d'Abbans - Tocqueville;48.8861532;2.3103287;bus;Rue Jouffroy d'Abbans;Quartier des Batignolles;75017
2014;Monge;48.8428993;2.3522696;bus;Rue Monge;Quartier du Jardin des Plantes;75005
2015;Monge;48.8436429;2.3521814;bus;Rue Monge;Quartier du Jardin des Plantes;75005
2016;Gare de Lyon;48.8438823;2.3733568;bus;Quartier des Quinze-Vingts;Paris 12e Arrondissement;75012
2017;Les Marronniers;48.8816421;2.403034;bus;Rue Alexander Fleming;Quartier d'Amérique;75019
2018;Vignoles;48.8543026;2.400327;bus;Quartier de Charonne;Paris 20e Arrondissement;75020
2019;Place de la Réunion;48.8556245;2.4020248;bus;Rue des Vignoles;Quartier de Charonne;75020
2020;Ourcq - Jean Jaurès;48.8873627;2.3847233;bus;Rue de l'Ourcq;Quartier du Pont-de-Flandre;75019
2021;Étang de l'Abbaye;48.8671033;2.2331636;bus;Chemin de l'Abbaye;Quartier de la Muette;75016
2022;Longchamp - GoodPlanet;48.8644474;2.2417697;bus;Allée de Longchamp;Quartier de la Muette;75016
2023;Longchamp - GoodPlanet;48.8642057;2.2415391;bus;Allée de Longchamp;Quartier de la Muette;75016
2024;Bagatelle - Pré Catelan;48.8669511;2.2487275;bus;Allée de Longchamp;Quartier de la Muette;75016
2025;Bagatelle - Pré Catelan;48.866859;2.2489352;bus;Allée de Longchamp;Quartier de la Muette;75016
2026;Route des Lacs;48.8707798;2.2597487;bus;Allée de Longchamp;Quartier de la Porte-Dauphine;75116
2027;Route de la Muette;48.8726233;2.2649521;bus;Allée de Longchamp;Quartier de la Porte-Dauphine;75116
2028;Route des Lacs;48.8705874;2.2587803;bus;Allée de Longchamp;Quartier de la Muette;75016
2029;Route de la Muette;48.8724416;2.2639758;bus;Allée de Longchamp;Quartier de la Porte-Dauphine;75116
2030;Armand Carrel - Mairie du 19e;48.8824027;2.3826739;bus;Rue Manin;Quartier du Combat;75019
2031;Championnet;48.8945146;2.3529473;bus;Rue des Poissonniers;Quartier de la Goutte-d'Or;75018
2032;Petites Écuries;48.8738399;2.3478472;bus;Rue du Faubourg Poissonnière;Quartier du Faubourg-Montmartre;75009
2033;Chevalier de la Barre;48.8873364;2.3444776;bus;Rue Lamarck;Quartier de Clignancourt;75018
2034;Résidence Danton;48.8258821;2.2978305;bus;Rue Louis Vicat;Quartier Saint-Lambert;75015
2035;Pigalle - Chaptal;48.8807154;2.3349167;bus;Rue Pierre Fontaine;Quartier Saint-Georges;75009
2036;Cambrai;48.893594;2.3764261;bus;Rue de l'Ourcq;Quartier du Pont-de-Flandre;75019
2037;Pereire - Porte Maillot;48.8801455;2.288255;bus;Avenue des Ternes;Quartier des Ternes;75017
2038;Pereire - Porte Maillot;48.8799413;2.288065;bus;Avenue des Ternes;Quartier des Ternes;75017
2039;Hôpitaux Broussais et Saint-Joseph;48.8278769;2.3153829;bus;Rue Didot;Quartier de Plaisance;75014
2040;Place Auguste Baron;48.9011107;2.3864648;bus;Boulevard de la Commanderie;Quartier du Pont-de-Flandre;75019
2041;Alibert;48.8711961;2.3658002;bus;Quai de Jemmapes;Quartier de la Porte-Saint-Martin;75010
2042;Avenue Richerand;48.8723484;2.3663726;bus;Quartier de la Porte-Saint-Martin;Paris 10e Arrondissement;75010
2043;Flandre;48.8928717;2.3781811;bus;Rue de l'Ourcq;Quartier du Pont-de-Flandre;75019
2044;Île Saint-Louis;48.8516741;2.356346;bus;Rue des Deux Ponts;Quartier Les Îles;75004
2045;Stade Dejerine;48.8567922;2.4115037;bus;Rue des Docteurs Déjérine;Quartier de Charonne;75020
2046;Louis Boilly;48.8590265;2.2675107;bus;Rue Louis Boilly;Quartier de la Muette;75016
2047;Abeille;48.9015098;2.3619248;bus;Impasse Marteau;Quartier de la Chapelle;75018
2048;Duchesne - Bollaert;48.8996242;2.3739884;bus;Rue Jacques Duchesne;Quartier du Pont-de-Flandre;75019
2049;Dareau - Saint-Jacques;48.8321527;2.3389823;bus;Boulevard Saint-Jacques;Quartier du Parc-de-Montsouris;75014
2050;Porte de Madrid;48.873486;2.2546154;bus;Allée de la Reine Marguerite;Quartier de la Muette;75016
2051;Porte Dorée - Daumesnil;48.8356759;2.4060024;bus;Avenue Daumesnil;Quartier du Bel-Air;75012
2052;Auguste Comte;48.8439988;2.3384728;bus;Rue Auguste Comte;Quartier de l'Odéon;75006
2053;Tour Eiffel;48.8591227;2.2928633;bus;Pont d'Iéna;Quartier du Gros-Caillou;75007
2054;Place Auguste Baron;48.9009093;2.3863832;bus;Boulevard de la Commanderie;Quartier du Pont-de-Flandre;75019
2055;Place de la Porte de Montreuil;48.8537684;2.4116403;bus;Avenue de la Porte de Montreuil;Quartier de Charonne;75020
2056;Stade Dejerine;48.8574274;2.4115482;bus;Rue Louis Lumière;Quartier de Charonne;75020
2057;Serpollet;48.86072;2.4104951;bus;Rue Serpollet;Quartier de Charonne;75020
2058;Serpollet;48.8604081;2.4111772;bus;Rue Louis Lumière;Quartier de Charonne;75020
2059;Marcadet - Poissonniers;48.8913545;2.351587;bus;Rue des Poissonniers;Quartier de Clignancourt;75018
2060;Marcadet - Poissonniers;48.8916159;2.3518653;bus;Rue des Poissonniers;Quartier de la Goutte-d'Or;75018
2061;Championnet;48.8947057;2.3528428;bus;Rue des Poissonniers;Quartier de la Goutte-d'Or;75018
2062;;48.8794558;2.2821234;bus;Quartier des Ternes;Paris 17e Arrondissement;75017
2063;Cité Universitaire;48.8214512;2.3409928;bus;Rue Gazan;Quartier du Parc-de-Montsouris;75014
2064;Porte Saint-Martin;48.8692818;2.3548351;bus;Boulevard Saint-Denis;Quartier de la Porte-Saint-Martin;75010
2065;Crimée - Rosa Parks;48.894981;2.3721083;bus;Rue de Crimée;Quartier du Pont-de-Flandre;75019
2066;Crimée - Rosa Parks;48.8949785;2.3723974;bus;Rue de Crimée;Quartier du Pont-de-Flandre;75019
2067;Crimée - Curial;48.8934878;2.3735357;bus;Rue de Crimée;Quartier de la Villette;75019
2068;Crimée;48.89128;2.3778788;bus;Avenue de Flandre;Quartier de la Villette;75019
2069;Bibliothèque François Mitterrand;48.829915;2.3775712;bus;Avenue de France;Quartier de la Gare;75013
2070;Porte de Montreuil;48.8542357;2.4106388;bus;Boulevard Davout;Quartier de Charonne;75020
2071;Orteaux - Maraîchers;48.8560314;2.4061008;bus;Rue des Orteaux;Quartier de Charonne;75020
2072;Charonne - Chanzy;48.85367;2.3826348;bus;Rue Faidherbe;Quartier Sainte-Marguerite;75011
2073;Jean-Pierre Timbaud - Richard Lenoir;48.8657403;2.369646;bus;Rue Jean-Pierre Timbaud;Quartier de la Folie-Méricourt;75011
2074;Parmentier;48.8666118;2.3731529;bus;Rue Jean-Pierre Timbaud;Quartier de la Folie-Méricourt;75011
2075;Porte d'Orléans - Ernest Reyer;48.8210553;2.3243855;bus;Rue de la Légion Étrangère;Quartier du Petit-Montrouge;75014
2076;Porte d'Orléans;48.8238214;2.3260623;bus;avant-cour;Quartier du Petit-Montrouge;75014
2077;;48.8726054;2.3111217;bus;Quartier du Faubourg-du-Roule;Paris 8e Arrondissement;75008
2078;Louvre - Pyramide;48.8652723;2.3344713;bus;Avenue de l'Opéra;Quartier du Palais Royal;75001
2079;Lecourbe - Vasco de Gama;48.8370224;2.2833247;bus;Rue Vasco de Gama;Quartier de Javel;75015
2080;Porte de Clichy;48.8945234;2.3128351;bus;Avenue de la Porte de Clichy;Quartier des Batignolles;75017
2081;Jules Ferry;48.8691461;2.3674428;bus;Quai de Jemmapes;Quartier de la Porte-Saint-Martin;75010
2082;Balard;48.8358491;2.2786954;bus;Boulevard Victor;Quartier de Javel;75015
2083;Place Balard;48.8362917;2.2784481;bus;Quartier de Javel;Paris 15e Arrondissement;75015
2084;Rond-Point Saint-Charles;48.8416677;2.2813076;bus;Rue Saint-Charles;Quartier de Javel;75015
2085;Richelieu - Drouot;48.8718594;2.3387639;bus;Paris 9e Arrondissement;Paris;75009
2086;Amiral Mouchez;48.8217905;2.3440139;bus;Rue de Rungis;Quartier de la Maison-Blanche;75013
2087;Amiral Mouchez;48.8215637;2.3435024;bus;Rue de Rungis;Quartier de la Maison-Blanche;75013
2088;Stade Charlety - Porte de Gentilly;48.8199471;2.3440946;bus;Rue de l'Amiral Mouchez;Quartier du Parc-de-Montsouris;75014
2089;Porte de Chatillon;48.8238788;2.3168335;bus;Avenue Maurice d'Ocagne;Quartier de Plaisance;75014
2090;Vergniaud - Tolbiac;48.8260366;2.3449731;bus;Rue de Tolbiac;Quartier de la Maison-Blanche;75013
2091;Barrault;48.8246927;2.3467069;bus;Rue Barrault;Quartier de la Maison-Blanche;75013
2092;Bobillot;48.8239071;2.3483201;bus;Rue Bobillot;Quartier de la Maison-Blanche;75013
2093;Rungis;48.8227023;2.3471212;bus;Rue Bobillot;Quartier de la Maison-Blanche;75013
2094;Place de Rungis;48.8224246;2.3463264;bus;Rue Brillat-Savarin;Quartier de la Maison-Blanche;75013
2095;Théâtre de l'Odéon;48.8496387;2.339073;bus;Rue Corneille;Quartier de l'Odéon;75006
2096;Gambetta - Japon;48.8654389;2.399652;bus;Rue du Japon;Quartier du Père-Lachaise;75020
2097;Hôpital Tenon;48.8648663;2.4009404;bus;Rue Belgrand;Quartier du Père-Lachaise;75020
2098;Nation - Saint-Antoine;48.848495;2.3946461;bus;Rue du Faubourg Saint-Antoine;Quartier de Picpus;75012
2099;Nation - Trône;48.8484981;2.3971586;bus;Avenue du Trône;Quartier Sainte-Marguerite;75011
2100;Nation - Taillebourg;48.8489191;2.3969494;bus;Avenue de Taillebourg;Quartier Sainte-Marguerite;75011
2101;Maubert - Mutualité;48.8496216;2.3493683;bus;Rue Monge;Quartier Saint-Victor;75005
2102;Concorde;48.8670726;2.3210289;bus;Place de la Concorde;Quartier de la Madeleine;75008
2103;Manin;48.8827165;2.3859636;bus;Rue de Crimée;Quartier d'Amérique;75019
2104;Cardinal Lemoine;48.8459575;2.3517611;bus;Rue Monge;Quartier Saint-Victor;75005
2105;Maubert - Mutualité;48.8493934;2.3493562;bus;Rue Monge;Quartier Saint-Victor;75005
2106;Crimée - Curial;48.8937267;2.3742426;bus;Rue de l'Ourcq;Quartier du Pont-de-Flandre;75019
2107;Rosa Parks;48.896148;2.3751242;bus;Rue Gaston Tessier;Quartier du Pont-de-Flandre;75019
2108;Rosa Parks;48.895945;2.3737232;bus;Rue Gaston Tessier;Quartier du Pont-de-Flandre;75019
2109;Crimée - Archereau;48.8918627;2.3753246;bus;Rue de Crimée;Quartier de la Villette;75019
2110;Mazarine;48.8545645;2.338012;bus;Rue Mazarine;Quartier de la Monnaie;75006
2111;Saint-Germain - Odéon;48.8526924;2.3386972;bus;Rue de l'Ancienne Comédie;Quartier de la Monnaie;75006
2112;Ourcq - Jean Jaurès;48.887301;2.384583;bus;Rue de l'Ourcq;Quartier de la Villette;75019
2113;Saint-André des Arts;48.8540537;2.3388132;bus;Rue Dauphine;Quartier de la Monnaie;75006
2114;Pont Neuf - Quai des Grands Augustins;48.8558867;2.3403487;bus;Rue Dauphine;Quartier de la Monnaie;75006
2115;Porte de Bagnolet;48.8647628;2.4094667;bus;Avenue de la Porte de Bagnolet;Quartier Saint-Fargeau;75020
2116;Rue de Jouy;48.8554638;2.3580647;bus;Rue François Miron;Quartier Saint-Gervais;75004
2117;Gare de Lyon;48.8434635;2.3741211;bus;Rue de Bercy;Quartier des Quinze-Vingts;75012
2118;Gare de Lyon - Diderot;48.8457061;2.3734015;bus;Boulevard Diderot;Quartier des Quinze-Vingts;75012
2119;Haussmann - Opéra - Visitor Centre;48.8725748;2.3290345;bus;Rue Auber;Quartier de la Chaussée-d'Antin;75009
2120;Havre - Haussmann;48.8733824;2.3279335;bus;Rue Auber;Quartier de la Chaussée-d'Antin;75009
2121;Pyramides;48.8660284;2.3344541;bus;Avenue de l'Opéra;Quartier du Palais Royal;75001
2122;Opéra - 4 Septembre;48.8697719;2.3325221;bus;Avenue de l'Opéra;Quartier Gaillon;75002
2123;Opéra Garnier;48.8723472;2.3307377;bus;Rue Scribe;Quartier de la Chaussée-d'Antin;75009
2124;Pont Neuf - Quai du Louvre;48.8581812;2.3433211;bus;Quai de la Mégisserie;Quartier Saint-Germain-l'Auxerrois;75001
2125;Pont Neuf - Quai du Louvre;48.8585895;2.3415054;bus;Quai du Louvre;Quartier Saint-Germain-l'Auxerrois;75001
2126;Debrousse Centre de Santé;48.8612387;2.4064028;bus;Rue des Balkans;Quartier de Charonne;75020
2127;Vitruve - Balkans;48.8597811;2.407237;bus;Rue des Balkans;Quartier de Charonne;75020
2128;Marguerite Long;48.8907791;2.3027079;bus;Avenue de la Porte d'Asnières;Quartier de la Plaine-de-Monceau;75017
2129;La Fayette - Magenta - Gare du Nord;48.8781895;2.3544902;bus;Boulevard de Magenta;Quartier Saint-Vincent-de-Paul;75010
2130;;48.8356902;2.368245;bus;Quartier de la Salpêtrière;Paris 13e Arrondissement;75013
2131;;48.8357551;2.3656406;bus;Quartier de la Salpêtrière;Paris 13e Arrondissement;75013
2132;;48.8372615;2.3669583;bus;Quartier de la Salpêtrière;Paris 13e Arrondissement;75013
2133;;48.8381958;2.3663239;bus;Quartier de la Salpêtrière;Paris 13e Arrondissement;75013
2134;;48.8375355;2.3651873;bus;Quartier de la Salpêtrière;Paris 13e Arrondissement;75013
2135;;48.8380811;2.3647575;bus;Quartier de la Salpêtrière;Paris 13e Arrondissement;75013
2136;;48.836569;2.3626962;bus;Quartier de la Salpêtrière;Paris 13e Arrondissement;75013
2137;;48.8357516;2.3633239;bus;Quartier de la Salpêtrière;Paris 13e Arrondissement;75013
2138;;48.8375303;2.3620056;bus;Quartier de la Salpêtrière;Paris 13e Arrondissement;75013
2139;;48.8382459;2.3615059;bus;Quartier de la Salpêtrière;Paris 13e Arrondissement;75013
2140;Château Landon;48.8788238;2.3625092;bus;Rue du Faubourg Saint-Martin;Quartier de l'Hôpital Saint-Louis;75010
2141;Château Landon;48.8785672;2.3619016;bus;Rue du Faubourg Saint-Martin;Quartier Saint-Vincent-de-Paul;75010
2142;Fleurus;48.8470269;2.3307236;bus;Rue de Fleurus;Quartier Notre-Dame-des-Champs;75006
2143;Henri Chevreau;48.868566;2.389053;bus;Rue de Ménilmontant;Quartier de Belleville;75020
2144;Julien Lacroix;48.8680426;2.3869285;bus;Rue de Ménilmontant;Quartier de Belleville;75020
2145;Couronnes;48.8688588;2.3802664;bus;Rue Jean-Pierre Timbaud;Quartier de la Folie-Méricourt;75011
2146;Couronnes;48.8688612;2.3810182;bus;Boulevard de Belleville;Quartier de Belleville;75020
2147;Colonel Monteil;48.8264396;2.3104445;bus;Boulevard Brune;Quartier de Plaisance;75014
2148;Raspail - Fleurus;48.8467837;2.3285423;bus;Rue de Fleurus;Quartier Notre-Dame-des-Champs;75006
2149;Saint-Germain - Odéon;48.8516358;2.3387334;bus;Rue de l'Odéon;Quartier de l'Odéon;75006
2150;Magenta - Maubeuge – Gare du Nord;48.8812369;2.3517574;bus;Boulevard de Magenta;Quartier Saint-Vincent-de-Paul;75010
2151;Magenta - Maubeuge - Gare du Nord;48.8812348;2.3517236;bus;Boulevard de Magenta;Quartier Saint-Vincent-de-Paul;75010
2152;Barbès - Rochechouart;48.8833293;2.3498596;bus;Boulevard de Magenta;Quartier Saint-Vincent-de-Paul;75010
2153;Pyrénées - Belleville;48.874188;2.3857733;bus;Rue de Belleville;Quartier du Combat;75019
2154;Pyrénées - Belleville;48.873754;2.3850894;bus;Rue de Belleville;Quartier de Belleville;75020
2155;Armand Carrel - Mairie du 19e;48.882463;2.382212;bus;Place Armand Carrel;Quartier du Combat;75019
2156;Pont Neuf - Quai des Grands Augustins;48.8562509;2.3395045;bus;Rue Guénégaud;Quartier de la Monnaie;75006
2157;Hôpital Notre-Dame de Bon Sécours;48.8270254;2.320324;bus;Rue des Plantes;Quartier de Plaisance;75014
2158;Alésia - Les Plantes;48.8296713;2.3228789;bus;Rue des Plantes;Quartier de Plaisance;75014
2159;Michel Debré;48.8518321;2.3305218;bus;Rue du Vieux Colombier;Quartier Notre-Dame-des-Champs;75006
2160;Barbès - Rochechouart;48.8834916;2.348903;bus;Boulevard Marguerite de Rochechouart;Quartier de Rochechouart;75009
2161;Hoche - Saint-Honoré;48.8762455;2.302306;bus;Rue du Faubourg Saint-Honoré;Quartier du Faubourg-du-Roule;75008
2162;Ternes - MacMahon;48.8784128;2.2947083;bus;Avenue des Ternes;Quartier des Ternes;75017
2163;Porte de Champerret;48.8854883;2.2924281;bus;Avenue de Villiers;Quartier des Ternes;75017
2164;Rond-Point des Champs-Élysées - Franklin D. Roosevelt;48.8702053;2.3099559;bus;Avenue Franklin Delano Roosevelt;Quartier du Faubourg-du-Roule;75008
2165;Villiers;48.881589;2.3170196;bus;Boulevard des Batignolles;Quartier des Batignolles;75017
2166;Pigalle;48.8825194;2.3373426;bus;Boulevard de Clichy;Quartier des Grandes-Carrières;75018
2167;Rue des Boulets;48.851955;2.3898207;bus;Boulevard Voltaire;Quartier Sainte-Marguerite;75011
2168;Voltaire - Montreuil;48.8509748;2.3914146;bus;Boulevard Voltaire;Quartier Sainte-Marguerite;75011
2169;Musée du Louvre;48.8621421;2.334466;bus;Jardin du Carrousel;Quartier Saint-Germain-l'Auxerrois;75001
2170;Lancry-Saint-Martin;48.8683294;2.360467;bus;Promenade Cleews Vellay;Quartier de la Porte-Saint-Martin;75010
2171;Faubourg Saint-Denis;48.8745161;2.3547849;bus;Rue de Paradis;Quartier de la Porte-Saint-Denis;75010
2172;Opéra;48.8708913;2.3331389;bus;Boulevard des Capucines;Quartier de la Chaussée-d'Antin;75009
2173;Rue Vieille du Temple - Mairie du 4e;48.8564515;2.3562211;bus;Rue de Rivoli;Quartier Saint-Gervais;75004
2174;Oberkampf - Filles du Calvaire;48.8625381;2.3671884;bus;Rue Oberkampf;Quartier Saint-Ambroise;75011
2175;Suzanne Lenglen;48.8480933;2.2486971;bus;Avenue de la Porte d'Auteuil;Quartier d'Auteuil;75016
2176;Hippodrome de Longchamp;48.8607168;2.2285575;bus;Allée du Bord de l'Eau;Quartier d'Auteuil;75016
2177;Passerelle de l'Avre;48.8541299;2.2262926;bus;Allée du Bord de l'Eau;Quartier d'Auteuil;75016
2178;Avron;48.8509932;2.3987605;bus;Boulevard de Charonne;Quartier de Charonne;75020
2179;Trocadéro;48.8634112;2.2883722;bus;Avenue du Président Wilson;Chaillot;75116
2180;Albert de Mun;48.8641272;2.2910289;bus;Avenue du Président Wilson;Chaillot;75116
2181;Octave Feuillet;48.8632291;2.2695632;bus;Avenue Henri Martin;Quartier de la Porte-Dauphine;75116
2182;Octave Feuillet;48.8629503;2.2695887;bus;Avenue Henri Martin;Quartier de la Muette;75116
2183;Pompe - Mairie du 16e;48.8638484;2.277917;bus;Avenue Georges Mandel;Quartier de la Muette;75116
2184;Bosquet - Rapp;48.862327;2.3027985;bus;Quai d'Orsay;Quartier du Gros-Caillou;75007
2185;Iéna;48.8646054;2.2941765;bus;Avenue du Président Wilson;Chaillot;75116
2186;Trocadéro;48.863188;2.2886807;bus;Avenue du Président Wilson;Chaillot;75016
2187;Saint-Germain-des-Prés;48.8535718;2.3338585;bus;Boulevard Saint-Germain;Quartier de Saint-Germain-des-Prés;75006
2188;Porte de Passy;48.8570361;2.2643135;bus;Boulevard Suchet;Quartier de la Muette;75016
2189;Porte de la Muette;48.8636252;2.2688645;bus;Boulevard Lannes;Quartier de la Porte-Dauphine;75116
2190;Parc Floral Château;48.8405842;2.4395026;bus;Avenue des Minimes;Quartier de Picpus;75012
2191;Avenue du Tremblay;48.8377739;2.4515289;bus;Avenue des Minimes;Quartier de Picpus;75012
2192;Château de Vincennes;48.844285;2.439479;bus;Cours des Maréchaux;Quartier de Picpus;75012
2193;Fort Neuf de Vincennes;48.842342;2.439108;bus;Cours des Maréchaux;Quartier de Picpus;75012
2194;Parc Floral;48.8406016;2.4393171;bus;Avenue des Minimes;Quartier de Picpus;75012
2195;Les Halles - Centre Georges Pompidou;48.8610375;2.3497283;bus;Boulevard de Sébastopol;Quartier Saint-Merri;75004
2196;Richelieu - Drouot;48.8716087;2.3398187;bus;Rue de Richelieu;Quartier Vivienne;75002
2197;Bibliothèque Nationale;48.8677989;2.337867;bus;Rue de Richelieu;Quartier Vivienne;75002
2198;Place de la Porte de Montreuil;48.8536073;2.4117986;bus;Avenue de la Porte de Montreuil;Quartier de Charonne;75020
2199;Casernes des Gardes;48.828901;2.419607;bus;Avenue de Saint-Maurice;Quartier du Bel-Air;75012
2200;Porte d'Italie - Métro;48.8184508;2.3599825;bus;Avenue de la Porte d'Italie;Quartier de la Maison-Blanche;75013
2201;Porte d'Orléans;48.8238681;2.3260762;bus;avant-cour;Quartier du Petit-Montrouge;75014
2202;Matignon - Saint-Honoré;48.8730754;2.3147618;bus;Avenue Delcassé;Quartier de la Madeleine;75008
2203;Rochechouart - Martyrs;48.8813359;2.3400088;bus;Rue des Martyrs;Quartier de Rochechouart;75009
2204;Navarin;48.8792717;2.3400088;bus;Rue des Martyrs;Quartier de Rochechouart;75009
2205;Navarin;48.8801774;2.3373681;bus;Rue Henry Monnier;Quartier Saint-Georges;75009
2206;Saint-Germain-des-Prés;48.8535325;2.3340153;bus;Boulevard Saint-Germain;Quartier de Saint-Germain-des-Prés;75006
2207;Porte de Champerret;48.8860232;2.2926986;bus;Paris 17e Arrondissement;Paris;75017
2208;Charles de Gaulle - Étoile - Mac Mahon;48.8750084;2.2947156;bus;Paris 17e Arrondissement;Paris;75017
2209;Bassano;48.8705769;2.2976004;bus;Avenue Marceau;Chaillot;75116
2210;Bosquet - Rapp;48.8615086;2.3021159;bus;Avenue Bosquet;Quartier du Gros-Caillou;75007
2211;Vauban - Hôtel des Invalides;48.8538074;2.3110187;bus;Avenue de Tourville;Quartier de l'École Militaire;75007
2212;Montparnasse - Alençon;48.8443577;2.322781;bus;Boulevard du Montparnasse;Quartier Necker;75015
2213;Bassano;48.8700595;2.2981637;bus;Avenue Marceau;Quartier des Champs-Élysées;75008
2214;Vauban - Hôtel des Invalides;48.8539287;2.3115432;bus;Avenue de Tourville;Quartier des Invalides;75007
2215;Charles de Gaulle - Étoile - Mac Mahon;48.8750354;2.2949376;bus;Paris 17e Arrondissement;Paris;75017
2216;Porte Dauphine;48.8705574;2.2744717;bus;Boulevard Lannes;Quartier de la Porte-Dauphine;75116
2217;Hippodrome de Longchamp;48.8609669;2.2284283;bus;Allée du Bord de l'Eau;Quartier d'Auteuil;75016
2218;Porte de Passy;48.8576335;2.2650129;bus;Boulevard Suchet;Quartier de la Muette;75016
2219;Raffet;48.853366;2.2622438;bus;Boulevard Suchet;Quartier d'Auteuil;75016
2220;Cimetière de Montrouge;48.8210526;2.3208091;bus;Boulevard Périphérique Extérieur;Quartier du Petit-Montrouge;75014
2221;Cail - Demarquay;48.8818567;2.3585241;bus;Rue du Faubourg Saint-Denis;Quartier Saint-Vincent-de-Paul;75010
2222;Place de la Chapelle;48.8836823;2.3593515;bus;Rue du Faubourg Saint-Denis;Quartier Saint-Vincent-de-Paul;75010
2223;Cail - Demarquay;48.8825524;2.3587489;bus;Rue du Faubourg Saint-Denis;Quartier Saint-Vincent-de-Paul;75010
2224;Gare du Nord;48.8807767;2.3579306;bus;Rue du Faubourg Saint-Denis;Quartier Saint-Vincent-de-Paul;75010
2225;Gare du Nord;48.8794559;2.3557946;bus;Rue de Saint-Quentin;Quartier Saint-Vincent-de-Paul;75010
2226;La Fayette - Dunkerque;48.87928;2.3557433;bus;Rue de Saint-Quentin;Quartier Saint-Vincent-de-Paul;75010
2227;Pelleport - Belleville;48.87493;2.3978466;bus;Rue Pelleport;Quartier Saint-Fargeau;75020
2228;Palais Royal - Comédie Française;48.8637728;2.3347305;bus;Place André Malraux;Quartier du Palais Royal;75001
2229;Flandre;48.8920648;2.3795325;bus;Rue de l'Ourcq;Quartier de la Villette;75019
2230;Pelleport - Belleville;48.8755072;2.3983744;bus;Rue de Belleville;Quartier d'Amérique;75019
2231;Albert Marquet;48.8577831;2.4041902;bus;Rue Vitruve;Quartier de Charonne;75020
2232;Porte de Courcelles;48.8880019;2.2944241;bus;Rue de Courcelles;Quartier de la Plaine-de-Monceau;75017
2233;Porte de Champerret;48.8856484;2.2928931;bus;Place Stuart Merrill;Quartier de la Plaine-de-Monceau;75017
2234;Porte de Champerret;48.8857799;2.294121;bus;Boulevard Berthier;Quartier de la Plaine-de-Monceau;75017
2235;Nation - Trône;48.8483423;2.3981171;bus;Avenue du Trône;Quartier Sainte-Marguerite;75011
2236;Porte de Montreuil;48.8531418;2.4105224;bus;Boulevard Davout;Quartier de Charonne;75020
2237;Albert Kahn;48.896102;2.3458602;bus;Boulevard Ornano;Quartier de Clignancourt;75018
2238;Albert Kahn;48.8961779;2.3464188;bus;Rue du Mont Cenis;Quartier de Clignancourt;75018
2239;Mont-Cenis;48.8978424;2.3467319;bus;Rue Belliard;Quartier de Clignancourt;75018
2240;Palais Royal - Comédie Française;48.8636684;2.3357404;bus;Rue de Richelieu;Quartier du Palais Royal;75001
2241;Villiers;48.88128;2.3172649;bus;Boulevard des Batignolles;Quartier de l'Europe;75008
2242;Colonel Pierre Avia;48.8298928;2.2756591;bus;Rue du Colonel Pierre Avia;Quartier de Javel;75015
2243;Camille Flammarion;48.8979792;2.3397088;bus;Boulevard Ney;Quartier des Grandes-Carrières;75018
2244;Saint-Philippe du Roule;48.872889;2.3103289;bus;Quartier du Faubourg-du-Roule;Paris 8e Arrondissement;75008
2245;Porte de Clichy;48.8949741;2.3118192;bus;Rue André Suarès;Quartier des Batignolles;75017
2246;Tremblay - Pépinière;48.8425671;2.4496681;bus;Avenue de la Pépinière;Quartier de Picpus;75012
2247;La Muette - Boulainvilliers;48.8586808;2.2756907;bus;Avenue Paul Doumer;Quartier de la Muette;75116
2248;La Muette - Boulainvilliers;48.8581294;2.2736455;bus;Chaussée de la Muette;Quartier de la Muette;75016
2249;La Muette - Boulainvilliers;48.8582591;2.2737247;bus;Chaussée de la Muette;Quartier de la Muette;75016
2250;Passy - Boulainvilliers;48.8580817;2.2753273;bus;Rue de Passy;Quartier de la Muette;75016
2251;Bugeaud;48.8700157;2.2825903;bus;Rue de la Pompe;Quartier de la Porte-Dauphine;75116
2252;Bosquet - Grenelle;48.8569496;2.3038231;bus;Rue de Grenelle;Quartier du Gros-Caillou;75007
2253;Invalides - La Tour-Maubourg;48.8580667;2.3094577;bus;Rue de Grenelle;Quartier du Gros-Caillou;75007
2254;Esplanade des Invalides;48.8584337;2.3138998;bus;Rue de Grenelle;Quartier des Invalides;75007
2255;Bourgogne;48.8576802;2.3171268;bus;Rue de Grenelle;Quartier des Invalides;75007
2256;Grenelle - Bellechasse;48.8565914;2.3208095;bus;Rue de Grenelle;Quartier des Invalides;75007
2257;Rue du Bac - René Char;48.8556764;2.3252338;bus;Rue du Bac;Quartier Saint-Thomas-d'Aquin;75007
2258;Gambetta;48.8649965;2.3977028;bus;Avenue Gambetta;Quartier du Père-Lachaise;75020
2259;Porte de Clignancourt;48.8984985;2.3440534;bus;Avenue de la Porte de Clignancourt;Quartier des Grandes-Carrières;75018
2260;Porte de Clignancourt;48.8989442;2.3440393;bus;Avenue de la Porte de Clignancourt;Quartier de Clignancourt;75018
2261;Bourgogne;48.8592279;2.3198318;bus;Paris 7e Arrondissement;Faubourg Saint-Germain;75007
2262;La Tour-Maubourg - Saint-Dominique;48.8599042;2.3107452;bus;Rue Saint-Dominique;Quartier des Invalides;75007
