id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1130301511412271738,Spacious apartment in Albany near Hospitals,32379616,Fabiola,,TENTH WARD,42.6605357,-73.7831436,Entire home/apt,111,28,1,2024-04-25,0.68,4,174,1,
1134940445251354534,Calling all travelers,521669673,Kody,,THIRD WARD,42.659090282065264,-73.75690830709546,Entire home/apt,85,14,1,2024-05-03,0.77,4,218,1,
1135812630237897119,Cozy Bedrooms in Albany,522436003,Adriana,,THIRTEENTH WARD,42.6689614,-73.7890379,Private room,75,7,0,,,2,53,0,
1136433500940918827,"""The Leo Home"" Private Bedroom 1",349460842,Scott,,THIRTEENTH WARD,42.66367775063635,-73.78128134573245,Private room,54,80,0,,,7,325,0,
1138989607102299187,Funky space close to MVP center,232967878,Diana,,SECOND WARD,42.644787680128815,-73.75652665506556,Entire home/apt,110,2,1,2024-04-27,0.71,23,44,1,
1141525488442370659,North Allen,522436003,Adriana,,THIRTEENTH WARD,42.6689614,-73.7890379,Private room,,7,0,,,2,155,0,
1142828940864329671,Safe Comfy Cozy 2 bedrooms.,574235481,Lavern,,FIRST WARD,42.64093633204883,-73.77670260377758,Entire home/apt,104,2,2,2024-05-19,1.62,1,255,2,
1142832011692120213,Great area-Patio-Off Street Parking-Quiet,129023424,Riccardo,,THIRTEENTH WARD,42.67105172536278,-73.7995011425903,Entire home/apt,101,3,2,2024-05-31,2,1,218,2,
1146241260871564965,Larson Green,233515764,Etem,,SIXTH WARD,42.6524924,-73.7674361,Entire home/apt,99,1,4,2024-05-21,3.75,3,227,4,
1146352622413555849,491 Washington Ave FL1Rare,575030103,Rehan,,ELEVENTH WARD,42.66259,-73.7733,Private room,55,2,3,2024-05-23,3,1,259,3,
1147092019793504034,Larson Blue,233515764,Etem,,SIXTH WARD,42.65273561519567,-73.76778699868483,Entire home/apt,99,1,10,2024-06-09,7.69,3,254,10,
1150611568915810847,Albany historic Washington Park,576083630,Joseph,,SIXTH WARD,42.6586049,-73.76803290000001,Entire home/apt,124,2,1,2024-05-14,1,1,67,1,
1158059552251999833,The Allen Home Private Bedroom 4,349460842,Scott,,TENTH WARD,42.66428,-73.79249,Private room,48,80,0,,,7,269,0,
1158239701426064904,Funky loft studio,502037254,Andrew,,THIRD WARD,42.65844514553717,-73.75925921743276,Entire home/apt,98,30,0,,,3,269,0,
1160398377613465255,Room in Albany near Hospitals,32379616,Fabiola,,TENTH WARD,42.6605291,-73.7831549,Private room,45,30,0,,,4,262,0,
1161719961897261088,Spacious Living PineHills,346396185,Charles,,TENTH WARD,42.66069972382525,-73.78216146239704,Entire home/apt,82,1,0,,,1,267,0,
1162989280445119715,Downtown Albany Penthouse Apt and Workstation,385664127,Dillon,,THIRD WARD,42.649795701769854,-73.75130585894716,Entire home/apt,130,5,0,,,3,122,0,
1164651175585600815,*New* Cozy Apt Bright + Modern W/D,47625981,Linda,,SEVENTH WARD,42.647271126671896,-73.76757790979316,Entire home/apt,119,1,0,,,16,355,0,
1165922161130472744,Cozy Remote Workplace,42708277,Rodney,,TENTH WARD,42.66019985153869,-73.77446320096051,Entire home/apt,99,1,0,,,3,57,0,
1167657709651040074,The Chic Lounge !,512321530,Rashiek,,ELEVENTH WARD,42.66116625960579,-73.76891223822699,Entire home/apt,200,1,0,,,1,269,0,
1169409832274186804,Furnished Room near Hospitals and Universities,32379616,Fabiola,,THIRD WARD,42.664093,-73.7679519,Private room,46,1,0,,,4,260,0,
1169514128026903528,A Home Near Mansion sleeps 16+ W/D Yard Grill,580892646,Crystal,,SECOND WARD,42.6444375872719,-73.75686069065895,Entire home/apt,361,1,0,,,3,76,0,
1170384250566304506,An Oasis 8 ppl Yard Grill W/D,580892646,Crystal,,SECOND WARD,42.64349359283049,-73.75905719764489,Entire home/apt,243,2,0,,,3,165,0,
1171795874799450911,Walk to convention center,232967878,Diana,,SIXTH WARD,42.65405009447168,-73.7657248262816,Entire home/apt,150,1,0,,,23,265,0,
1171885189346375850,A King/Queen suite Grill WD yard,580892646,Crystal,,SECOND WARD,42.64462142009249,-73.7576423311694,Private room,163,2,0,,,3,43,0,
