latitude,longitude,dep,arret metro,nomcom,code postal,lieux à visiter,description
48.8408192411, 2.27089931653,75,,Paris,75115,Escale parc André Citroën aval,"Haltes, escales ou ports fluviaux de plaisance"
48.3878831949, 2.9601620386,77,CHEMIN DU HALAGE DE L'YONNE,MONTEREAU-FAULT-YONNE,77305,Halte de Montereau-Fault-Yonne,"Haltes, escales ou ports fluviaux de plaisance"
48.9771497298, 2.05676884701,78,4 BOULEVARD NOËL MARC,ANDRESY,78015,Halte de plaisance d'Andrésy,"Haltes, escales ou ports fluviaux de plaisance"
48.9315748275, 2.00772510821,78,350 CHEMIN DES PÊCHEURS,VILLENNES-SUR-SEINE,78672,"Jet 7 performance, plaisance","Haltes, escales ou ports fluviaux de plaisance"
48.591347102, 2.48427747398,91,,SaintRY-SUR-SEINE,91577,Port des Bas Vignons,"Haltes, escales ou ports fluviaux de plaisance"
48.7870603116, 2.47503402282,94,PASSERELLE DE LA PIE,CRETEIL,94028,Port de plaisance,"Haltes, escales ou ports fluviaux de plaisance"
48.7076691405, 2.04382553055,78,2 PLACE DE LUYNES,CHEVREUSE,78160,,Offices du tourisme et syndicats d'initiative
48.9904351542, 1.71937895647,78,1 RUE THIERS,MANTES LA JOLIE,78361,,Offices du tourisme et syndicats d'initiative
48.3190126265, 2.08885268526,91,3 RUE CORPECHOT,MEREVILLE,91390,,Offices du tourisme et syndicats d'initiative
48.7545806043, 2.30009121842,92,"1, PLACE AUGUSTE MOUNIE",ANTONY,92002,,Offices du tourisme et syndicats d'initiative
48.9193460427, 2.53702916051,93,5 PLACE FRANCOIS MITTERRAND,LIVRY GARGAN,93046,,Offices du tourisme et syndicats d'initiative
49.1079487593, 2.34335470288,95,TOUR DU GUET BP 22,ST MARTIN DU TERTRE,95566,,Offices du tourisme et syndicats d'initiative
49.0028816269, 2.56702427108,93,AEROPORT CDG - TERMINAL 2C,TREMBLAY-EN-FRANCE,93073,,Offices du tourisme et syndicats d'initiative
48.8659687219, 2.32419937469,75,place de la concorde,Paris,75101,Grande roue des Tuileries,"Espace de loisirs, espace récréatif"
48.8469209088, 2.27822588685,75,parc Andre Citroën,Paris,75115,Ballon de Paris,"Espace de loisirs, espace récréatif"
48.8534364885, 2.34411916519,75,Boulevard Saint Michel,Paris,75106,Poussin vert,"Espace de loisirs, espace récréatif"
48.6513072783, 1.81789667549,78,3 rue Groussay,RAMBOUILLET,78517,Office national des forêts,"Espace de loisirs, espace récréatif"
49.1467461999, 1.8048976548,95,RD 14,MAGNY-EN-VEXIN,95177,Parc Aventure Land,"Espace de loisirs, espace récréatif"
48.8090119435, 2.13044999961,78,54 BOULEVARD DE LA REINE,VERSAILLES,78646,Musée Lambinet,Musée et écomusée
