Id_metro,Nom,Latitude,Longitude
64,Oberkampf,48.8640529,2.3694165
65,Bonne Nouvelle,48.8705324,2.3487457
66,Grands Boulevards,48.8714412,2.3434953
67,Saint-Augustin,48.874471,2.3217921
68,Cardinal Lemoine,48.8465067,2.351764
69,Maubert - Mutualité,48.8501068,2.3483706
70,Cluny-La Sorbonne,48.8511065,2.3442097
71,Mabillon,48.8528857,2.3349394
72,Balard,48.8363968,2.278379
73,Lourmel,48.8387364,2.2821481
74,Boucicaut,48.8410837,2.2879218
75,Félix Faure,48.8426775,2.2917792
76,Dugommier,48.8390379,2.3897217
77,Bercy,48.8401549,2.3799474
78,Montparnasse-Bienvenüe,48.8421022,2.3202714
79,Pasteur,48.8429314,2.3125908
80,Kléber,48.8716801,2.2935185
81,Passy,48.8575009,2.285778
82,Iéna,48.8646177,2.2937179
83,Rue de la Pompe,48.8640672,2.278149
84,La Muette,48.8579754,2.274062
85,Ranelagh,48.8555764,2.2702166
86,Jasmin,48.8525598,2.2681802
87,Michel-Ange - Molitor,48.8452434,2.261895
88,Exelmans,48.8430044,2.2600472
89,Porte de Saint-Cloud,48.8377707,2.2565741
90,Alma-Marceau,48.8648683,2.300292
91,Saint-Philippe du Roule,48.8723362,2.3100827
92,Miromesnil,48.873719,2.3145029
93,Sèvres-Babylone,48.8514719,2.3268896
94,Brochant,48.8905757,2.3202004
95,La Fourche,48.886971,2.3258228
96,Ségur,48.8469898,2.3074817
97,Avenue Émile Zola,48.8469916,2.2953111
98,Assemblée Nationale,48.860697,2.3210551
99,Solférino,48.858657,2.3229936
100,Rennes,48.8482145,2.3277854
101,Notre-Dame des Champs,48.844688,2.3288305
102,Commerce,48.8447112,2.2938643
103,École Militaire,48.8546647,2.3060728
104,La Tour Maubourg,48.8575602,2.3103234
105,Filles du Calvaire,48.8633194,2.3666323
106,Saint-Sébastien - Froissart,48.8611816,2.367234
107,Chemin Vert,48.8574434,2.3681408
108,Ledru-Rollin,48.8512945,2.3760274
109,Faidherbe — Chaligny,48.8501609,2.3842222
110,Montgallet,48.844304,2.3901962
111,Michel Bizot,48.8370694,2.4024586
112,Porte Dorée,48.8352765,2.4061775
113,Picpus,48.8450724,2.4010857
114,Porte de Charenton,48.8322315,2.3990408
115,Trinité d'Estienne d'Orves,48.8763251,2.3326415
116,Notre-Dame de Lorette,48.8759935,2.3385437
117,Saint-Georges,48.8784469,2.337458
118,Abbesses,48.8845677,2.3379294
119,Lamarck - Caulaincourt,48.8897543,2.3388254
120,Jules Joffrin,48.8924628,2.3446394
121,Porte de la Chapelle,48.8977035,2.3594563
122,Simplon,48.8938481,2.3478412
123,Gare de l'Est,48.8762027,2.3579127
124,Cité,48.8553245,2.347542
125,Saint-Michel,48.8532864,2.3435081
126,Saint-Germain-des-Prés,48.8536304,2.334471
127,Saint-Placide,48.847098,2.3270206
128,Vavin,48.8422164,2.3290114
129,Charles Michels,48.8465046,2.2858721
130,Javel - André Citroën,48.8461368,2.2782955
131,Église d'Auteuil,48.8473406,2.2686929
132,Porte d'Auteuil,48.8480669,2.25877
133,Chardon-Lagache,48.845414,2.267172
134,Mirabeau,48.8468038,2.2717155
135,Goncourt,48.8699854,2.3710671
136,Pyrénées,48.8738565,2.3852638
137,Jourdain,48.8750944,2.38933
138,Bréguet-Sabin,48.8566333,2.3704333
139,Richard Lenoir,48.8602134,2.3720741
140,Riquet,48.8884812,2.3742226
141,Crimée,48.8908513,2.3773681
142,Corentin Cariou,48.8947282,2.3823046
143,Porte de la Villette,48.8974039,2.385591
144,Sully - Morland,48.8513954,2.3618174
145,Pont Marie,48.8537872,2.3565905
146,Place Monge,48.8429053,2.3522772
